,index,pitch,channels,year,month,months_text,track
0,1,60,1,2011,2,february,1
1,1,60,1,2011,2,february,0
2,1,62,1,2011,2,february,0
3,1,69,1,2011,2,february,0
4,1,60,1,2011,2,february,0
5,2,52,1,2011,3,march,0
6,2,59,1,2011,3,march,0
7,2,52,1,2011,3,march,0
8,2,52,1,2011,3,march,0
9,2,57,1,2011,3,march,0
10,3,78,0,2011,4,april,0
11,3,75,0,2011,4,april,0
12,3,78,0,2011,4,april,0
13,3,78,0,2011,4,april,0
14,3,75,0,2011,4,april,0
15,4,57,1,2011,5,may,1
16,4,52,1,2011,5,may,0
17,4,57,1,2011,5,may,0
18,4,57,1,2011,5,may,0
19,4,52,1,2011,5,may,0
20,5,60,3,2011,6,june,4
21,5,60,3,2011,6,june,0
22,5,62,3,2011,6,june,0
23,5,69,3,2011,6,june,0
24,5,69,3,2011,6,june,0
25,6,52,2,2011,7,july,1
26,6,57,2,2011,7,july,0
27,6,59,2,2011,7,july,0
28,6,57,2,2011,7,july,0
29,6,59,2,2011,7,july,0
30,7,72,2,2011,8,august,0
31,7,69,2,2011,8,august,0
32,7,72,2,2011,8,august,0
33,7,69,2,2011,8,august,0
34,7,69,2,2011,8,august,0
35,8,78,2,2011,9,september,0
36,8,75,2,2011,9,september,0
37,8,78,2,2011,9,september,0
38,8,75,2,2011,9,september,0
39,8,75,2,2011,9,september,0
40,9,30,1,2011,10,october,0
41,9,30,1,2011,10,october,0
42,9,35,1,2011,10,october,0
43,9,35,1,2011,10,october,0
44,9,30,1,2011,10,october,0
45,10,37,1,2011,11,november,0
46,10,40,1,2011,11,november,0
47,10,37,1,2011,11,november,0
48,10,40,1,2011,11,november,0
49,10,40,1,2011,11,november,0
50,11,50,2,2011,12,december,0
51,11,47,2,2011,12,december,0
52,11,50,2,2011,12,december,0
53,11,47,2,2011,12,december,0
54,11,50,2,2011,12,december,0
55,12,69,1,2012,1,january,0
56,12,60,1,2012,1,january,0
57,12,62,1,2012,1,january,0
58,12,69,1,2012,1,january,0
59,12,60,1,2012,1,january,0
60,13,37,1,2012,2,february,0
61,13,37,1,2012,2,february,0
62,13,37,1,2012,2,february,0
63,13,40,1,2012,2,february,0
64,13,37,1,2012,2,february,0
65,14,37,3,2012,3,march,0
66,14,40,3,2012,3,march,0
67,14,40,3,2012,3,march,0
68,14,37,3,2012,3,march,0
69,14,40,3,2012,3,march,0
70,15,45,2,2012,4,april,0
71,15,42,2,2012,4,april,0
